"","V1","V2","V3"
"0610039K10Rik",1,1,1
"0610043K17Rik",1,1,1
"1300017J02Rik",1,1,1
"1600010M07Rik",1,1,1
"1700006H21Rik",1,1,1
"1700007B14Rik",1,1,1
"1700010D01Rik",1,1,1
"1700011E24Rik",1,1,1
"1700016C15Rik",1,1,1
"1700016H13Rik",1,1,1
"1700018A04Rik",1,1,1
"1700019O17Rik",1,1,1
"1700023F02Rik",1,1,1
"1700023L04Rik",1,1,1
"1700024F13Rik",1,1,1
"1700025N23Rik",1,1,1
"1700027I24Rik",1,1,1
"1700028D13Rik",1,1,1
"1700036G14Rik",1,1,1
"1700040N02Rik",1,1,1
"1700042O10Rik",1,1,1
"1700060C20Rik",1,1,1
"1700061I17Rik",1,1,1
"1700063D05Rik",1,1,1
"1700066B19Rik",1,1,1
"1700084C01Rik",1,1,1
"1700101E01Rik",1,1,1
"1700102H20Rik",1,1,1
"1700105P06Rik",1,1,1
"1700108F19Rik",1,1,1
"1700119H24Rik",1,1,1
"1700120C14Rik",1,1,1
"1700120K04Rik",1,1,1
"1700125H20Rik",1,1,1
"1810009J06Rik",1,1,1
"1810046K07Rik",1,1,1
"2010005H15Rik",1,1,1
"2010009K17Rik",1,1,1
"2010010A06Rik",1,1,1
"2310008N11Rik",1,1,1
"2510003D18Rik",1,1,1
"2610027K06Rik",1,1,1
"2610037D02Rik",1,1,1
"2700081L22Rik",1,1,1
"2900060B14Rik",1,1,1
"3110035E14Rik",1,1,1
"3110039M20Rik",1,1,1
"3110099E03Rik",1,1,1
"3930402G23Rik",1,1,1
"4732416N19Rik",1,1,1
"4833424O15Rik",1,1,1
"4921504E06Rik",1,1,1
"4921508D12Rik",1,1,1
"4921533I20Rik",1,1,1
"4921539E11Rik",1,1,1
"4930413F20Rik",1,1,1
"4930423M02Rik",1,1,1
"4930431P03Rik",1,1,1
"4930443O20Rik",1,1,1
"4930444P10Rik",1,1,1
"4930471M09Rik",1,1,1
"4930483J18Rik",1,1,1
"4930502E09Rik",1,1,1
"4930502E18Rik",1,1,1
"4930503E24Rik",1,1,1
"4930509E16Rik",1,1,1
"4930513O06Rik",1,1,1
"4930515L03Rik",1,1,1
"4930525D18Rik",1,1,1
"4930529M08Rik",1,1,1
"4930533B01Rik",1,1,1
"4930539M17Rik",1,1,1
"4930542C21Rik",1,1,1
"4930544G11Rik",1,1,1
"4930544M13Rik",1,1,1
"4930547E08Rik",1,1,1
"4930555G01Rik",1,1,1
"4930562C15Rik",1,1,1
"4930562F07Rik",1,1,1
"4930573O16Rik",1,1,1
"4931403E22Rik",1,1,1
"4931423N10Rik",1,1,1
"4931440J10Rik",1,1,1
"4932414N04Rik",1,1,1
"4932438H23Rik",1,1,1
"4933403O08Rik",1,1,1
"4933405D12Rik",1,1,1
"4933405L10Rik",1,1,1
"4933407E24Rik",1,1,1
"4933417O13Rik",1,1,1
"4933428C19Rik",1,1,1
"4933433C11Rik",1,1,1
"5430421N21Rik",1,1,1
"5430437J10Rik",1,1,1
"5730435O14Rik",1,1,1
"5730522E02Rik",1,1,1
"5830403L16Rik",1,1,1
"5930412G12Rik",1,1,1
"5930438M14Rik",1,1,1
"6330403A02Rik",1,1,1
"6330409D20Rik",1,1,1
"7420701I03Rik",1,1,1
"8430408G22Rik",1,1,1
"9030612E09Rik",1,1,1
"9330111N05Rik",1,1,1
"9330175E14Rik",1,1,1
"9430041J12Rik",1,1,1
"9430069I07Rik",1,1,1
"9530026F06Rik",1,1,1
"9530048J24Rik",1,1,1
"9530052E02Rik",1,1,1
"A230020J21Rik",1,1,1
"A230072E10Rik",1,1,1
"A330049N07Rik",1,1,1
"A330050F15Rik",1,1,1
"A330093E20Rik",1,1,1
"A430090L17Rik",1,1,1
"A430093F15Rik",1,1,1
"A530065N20Rik",1,1,1
"A730036I17Rik",1,1,1
"A930003O13Rik",1,1,1
"AA536875",1,1,1
"Acbd7",1,1,1
"Acpt",1,1,1
"Acr",1,1,1
"Acsm4",1,1,1
"Actn2",1,1,1
"Acvr1c",1,1,1
"Adcy8",1,1,1
"Adh4",1,1,1
"Adra1a",1,1,1
"Agxt",1,1,1
"AI118078",1,1,1
"AI314831",1,1,1
"AI848285",1,1,1
