"","V1","V2","V3"
"0610038L08Rik",1,1,1
"0610043K17Rik",1,1,1
"1110032F04Rik",1,1,1
"1300017J02Rik",1,1,1
"1500017E21Rik",1,1,1
"1600023N17Rik",1,1,1
"1600029O15Rik",1,1,1
"1700003F12Rik",1,1,1
"1700007G11Rik",1,1,1
"1700007P06Rik",1,1,1
"1700011H14Rik",1,1,1
"1700016H13Rik",1,1,1
"1700016K19Rik",1,1,1
"1700016L04Rik",1,1,1
"1700019B21Rik",1,1,1
"1700019D03Rik",1,1,1
"1700019N19Rik",1,1,1
"1700020A23Rik",1,1,1
"1700023L04Rik",1,1,1
"1700026D08Rik",1,1,1
"1700026L06Rik",1,1,1
"1700028P14Rik",1,1,1
"1700034F02Rik",1,1,1
"1700034I23Rik",1,1,1
"1700034P13Rik",1,1,1
"1700040L02Rik",1,1,1
"1700042O10Rik",1,1,1
"1700047M11Rik",1,1,1
"1700048M11Rik",1,1,1
"1700063D05Rik",1,1,1
"1700064M15Rik",1,1,1
"1700066B19Rik",1,1,1
"1700067K01Rik",1,1,1
"1700088E04Rik",1,1,1
"1700095A21Rik",1,1,1
"1700101E01Rik",1,1,1
"1700109G14Rik",1,1,1
"1700110C19Rik",1,1,1
"1700120C14Rik",1,1,1
"1700120G07Rik",1,1,1
"1700125H20Rik",1,1,1
"1810006J02Rik",1,1,1
"2010016I18Rik",1,1,1
"2210416O15Rik",1,1,1
"2300005B03Rik",1,1,1
"2310042E22Rik",1,1,1
"2310069B03Rik",1,1,1
"2410057H14Rik",1,1,1
"2410137F16Rik",1,1,1
"2510049J12Rik",1,1,1
"2610017I09Rik",1,1,1
"2610035F20Rik",1,1,1
"2610316D01Rik",1,1,1
"2700081L22Rik",1,1,1
"2810011L19Rik",1,1,1
"2810404M03Rik",1,1,1
"2810471M01Rik",1,1,1
"2900009J06Rik",1,1,1
"2900041M22Rik",1,1,1
"2900060B14Rik",1,1,1
"3110021A11Rik",1,1,1
"3110047P20Rik",1,1,1
"3110082J24Rik",1,1,1
"3632454L22Rik",1,1,1
"4732471J01Rik",1,1,1
"4921507P07Rik",1,1,1
"4921530D09Rik",1,1,1
"4930412O13Rik",1,1,1
"4930447K03Rik",1,1,1
"4930451C15Rik",1,1,1
"4930471I20Rik",1,1,1
"4930474N09Rik",1,1,1
"4930479D17Rik",1,1,1
"4930483O08Rik",1,1,1
"4930488L21Rik",1,1,1
"4930503E24Rik",1,1,1
"4930513D17Rik",1,1,1
"4930519G04Rik",1,1,1
"4930525D18Rik",1,1,1
"4930525G20Rik",1,1,1
"4930544D05Rik",1,1,1
"4930548H24Rik",1,1,1
"4930550L24Rik",1,1,1
"4930555G01Rik",1,1,1
"4930557A04Rik",1,1,1
"4930558K02Rik",1,1,1
"4930562C15Rik",1,1,1
"4930564K09Rik",1,1,1
"4930583P06Rik",1,1,1
"4930592I03Rik",1,1,1
"4930594C11Rik",1,1,1
"4930596M17Rik",1,1,1
"4931402G19Rik",1,1,1
"4931403E22Rik",1,1,1
"4931417G12Rik",1,1,1
"4932413F04Rik",1,1,1
"4933402D24Rik",1,1,1
"4933403O08Rik",1,1,1
"4933406C10Rik",1,1,1
"4933411K16Rik",1,1,1
"4933422H20Rik",1,1,1
"4933426D04Rik",1,1,1
"4933432I03Rik",1,1,1
"4933432I09Rik",1,1,1
"4933438K21Rik",1,1,1
"5031434O11Rik",1,1,1
"5430401F13Rik",1,1,1
"5430416O09Rik",1,1,1
"5430421N21Rik",1,1,1
"5430428K19Rik",1,1,1
"5730403I07Rik",1,1,1
"5730422E09Rik",1,1,1
"5730522E02Rik",1,1,1
"5830403L16Rik",1,1,1
"5930412G12Rik",1,1,1
"6430584L05Rik",1,1,1
"8430423G03Rik",1,1,1
"8430431K14Rik",1,1,1
"9130017N09Rik",1,1,1
"9130409I23Rik",1,1,1
"9230102K24Rik",1,1,1
"9430069I07Rik",1,1,1
"9430076G02Rik",1,1,1
"9530026F06Rik",1,1,1
"9530091C08Rik",1,1,1
"9830107B12Rik",1,1,1
"a",1,1,1
"A130077B15Rik",1,1,1
"A230057D06Rik",1,1,1
"A330050F15Rik",1,1,1
"A330076H08Rik",1,1,1
"A430088P11Rik",1,1,1
"A430090L17Rik",1,1,1
"A530065N20Rik",1,1,1
"A730036I17Rik",1,1,1
"A730043L09Rik",1,1,1
"A730085A09Rik",1,1,1
"A730090H04Rik",1,1,1
"A930006K02Rik",1,1,1
"Abca13",1,1,1
"Abcb11",1,1,1
"Abhd1",1,1,1
"Abra",1,1,1
"Ace2",1,1,1
"Actl7b",1,1,1
"Actrt3",1,1,1
"Adamdec1",1,1,1
"Adh4",1,1,1
"Adra1a",1,1,1
"Adrb3",1,1,1
"Afp",1,1,1
"Agmat",1,1,1
"Agmo",1,1,1
"AI197445",1,1,1
"AI507597",1,1,1
"AI836003",1,1,1
"AI847159",1,1,1
"Ak8",1,1,1
"Aldh8a1",1,1,1
"Alpi",1,1,1
"Amdhd1",1,1,1
"Amph",1,1,1
"Ang4",1,1,1
"Ankmy1",1,1,1
"Ankrd63",1,1,1
"Ankrd7",1,1,1
"Ano2",1,1,1
"Ano4",1,1,1
"Aox4",1,1,1
"Ap3b2",1,1,1
"Apoa1",1,1,1
"Apobec2",1,1,1
"Apol7c",1,1,1
"Arid3c",1,1,1
"Arl14epl",1,1,1
"Art2a-ps",1,1,1
"Asb16",1,1,1
"Asgr2",1,1,1
"Aspa",1,1,1
"Asprv1",1,1,1
"Asz1",1,1,1
"Atg9b",1,1,1
"Atp13a4",1,1,1
"Atp1a4",1,1,1
"Atp2b3",1,1,1
"Atp8b5",1,1,1
"AV051173",1,1,1
"B130024G19Rik",1,1,1
"B230208H11Rik",1,1,1
"BB287469",1,1,1
"Bbox1",1,1,1
"BC021767",1,1,1
"BC048546",1,1,1
"BC048609",1,1,1
"BC049352",1,1,1
"BC049762",1,1,1
"BC051142",1,1,1
"BC089491",1,1,1
"BC089597",1,1,1
"BC107364",1,1,1
"BC125332",1,1,1
"Bglap",1,1,1
"Bhmt2",1,1,1
"Birc7",1,1,1
"Bmx",1,1,1
"Boll",1,1,1
"Brsk2",1,1,1
"Bspry",1,1,1
"C130026L21Rik",1,1,1
"C130030K03Rik",1,1,1
"C2cd4d",1,1,1
"C330046G13Rik",1,1,1
"C86187",1,1,1
"Cacna1f",1,1,1
"Cacna1s",1,1,1
"Cacng1",1,1,1
"Calcr",1,1,1
"Caly",1,1,1
"Capn12",1,1,1
"Capn3",1,1,1
"Car4",1,1,1
"Car7",1,1,1
"Card11",1,1,1
"Cav3",1,1,1
"Ccdc113",1,1,1
"Ccdc150",1,1,1
"Ccdc155",1,1,1
"Ccdc42",1,1,1
"Ccdc42b",1,1,1
"Ccdc89",1,1,1
"Ccl1",1,1,1
"Ccl22",1,1,1
"Ccl24",1,1,1
"Ccr10",1,1,1
"Ccr2",1,1,1
"Ccr3",1,1,1
"Cd160",1,1,1
"Cd200r3",1,1,1
"Cd27",1,1,1
"Cd300lg",1,1,1
"Cd79b",1,1,1
"Cdh16",1,1,1
"Cdr1",1,1,1
"Ceacam16",1,1,1
"Cecr2",1,1,1
"Cecr6",1,1,1
"Ces1g",1,1,1
"Ces2e",1,1,1
"Chdh",1,1,1
"Chit1",1,1,1
"Chrm5",1,1,1
"Chrna3",1,1,1
"Chrna5",1,1,1
"Chrng",1,1,1
"Cidea",1,1,1
"Cideb",1,1,1
"Cldn2",1,1,1
"Cldn20",1,1,1
"Cldn26",1,1,1
"Cldn7",1,1,1
"Clec1b",1,1,1
"Clec2h",1,1,1
"Clvs2",1,1,1
"Cma2",1,1,1
"Cmtm5",1,1,1
"Cngb3",1,1,1
"Cntf",1,1,1
"Cntn6",1,1,1
"Col13a1",1,1,1
"Col4a4",1,1,1
"Cox7b2",1,1,1
"Cpa1",1,1,1
"Cpa2",1,1,1
"Cpn1",1,1,1
"Cpne5",1,1,1
"Crh",1,1,1
"Crip3",1,1,1
"Crisp2",1,1,1
"Crtac1",1,1,1
"Crygn",1,1,1
"Csnka2ip",1,1,1
"Cwh43",1,1,1
"Cxcl17",1,1,1
"Cyp11a1",1,1,1
"Cyp2c44",1,1,1
"Cyp2d34",1,1,1
"Cyp2d40",1,1,1
"Cyp2d9",1,1,1
"Cyp4a10",1,1,1
"Cyp4a14",1,1,1
"Cyp4a31",1,1,1
"Cyp4a32",1,1,1
"Cyp4f15",1,1,1
"Cyp4f40",1,1,1
"Cyyr1",1,1,1
"D5Ertd605e",1,1,1
"D630029K05Rik",1,1,1
"D630033O11Rik",1,1,1
"D730005E14Rik",1,1,1
"D730045A05Rik",1,1,1
"D830030K20Rik",1,1,1
"D830046C22Rik",1,1,1
"D930032P07Rik",1,1,1
"D930048N14Rik",1,1,1
"Dab1",1,1,1
"Dazl",1,1,1
"Dcstamp",1,1,1
"Defb43",1,1,1
"Dkkl1",1,1,1
"Dleu7",1,1,1
"Dlgap3",1,1,1
"Dmkn",1,1,1
"Dmrtc1a",1,1,1
"Dnahc7a",1,1,1
"Dnajc22",1,1,1
"Dpf3",1,1,1
"Dsc3",1,1,1
"Dsg2",1,1,1
"Dsg3",1,1,1
"Duoxa1",1,1,1
"Dusp27",1,1,1
"Dydc1",1,1,1
"E130003G02Rik",1,1,1
"E130218I03Rik",1,1,1
"E130309F12Rik",1,1,1
"E230019M04Rik",1,1,1
"E230025N22Rik",1,1,1
"E230029C05Rik",1,1,1
"E430016F16Rik",1,1,1
"Efcab9",1,1,1
"Efcc1",1,1,1
"Efhc2",1,1,1
"Ehf",1,1,1
"Emr4",1,1,1
"En2",1,1,1
"Epcam",1,1,1
"Epx",1,1,1
"Eqtn",1,1,1
"Ermn",1,1,1
"Esrrb",1,1,1
"F10",1,1,1
"F2",1,1,1
"F830045P16Rik",1,1,1
"F9",1,1,1
"Fa2h",1,1,1
"Fabp2",1,1,1
"Fam131c",1,1,1
"Fam151a",1,1,1
"Fam159a",1,1,1
"Fam186b",1,1,1
"Fam19a4",1,1,1
"Fam209",1,1,1
"Fam221b",1,1,1
"Fam227b",1,1,1
"Fam57b",1,1,1
"Fam71f1",1,1,1
"Fasl",1,1,1
"Fbxw24",1,1,1
"Fcgbp",1,1,1
"Fcrl1",1,1,1
"Fgf8",1,1,1
"Fgfbp1",1,1,1
"Fgg",1,1,1
"Fkbp6",1,1,1
"Fmr1nb",1,1,1
"Fn3k",1,1,1
"Fnd3c2",1,1,1
"Foxa2",1,1,1
"Foxl2",1,1,1
"Foxn1",1,1,1
"Fsd2",1,1,1
"Fut2",1,1,1
"G630025P09Rik",1,1,1
"Gabrd",1,1,1
"Gabrg3",1,1,1
"Galnt15",1,1,1
"Gast",1,1,1
"Gata5",1,1,1
"Gckr",1,1,1
"Gdf2",1,1,1
"Gimap4",1,1,1
"Gip",1,1,1
"Gja10",1,1,1
"Gja8",1,1,1
"Gjb6",1,1,1
"Glp1r",1,1,1
"Glyat",1,1,1
"Gm10364",1,1,1
"Gm10389",1,1,1
"Gm10406",1,1,1
"Gm10421",1,1,1
"Gm10536",1,1,1
"Gm10635",1,1,1
"Gm10664",1,1,1
"Gm10731",1,1,1
"Gm1078",1,1,1
"Gm10865",1,1,1
"Gm1123",1,1,1
"Gm1141",1,1,1
"Gm11413",1,1,1
"Gm11435",1,1,1
"Gm11437",1,1,1
"Gm11468",1,1,1
"Gm11545",1,1,1
"Gm11648",1,1,1
"Gm11744",1,1,1
"Gm11992",1,1,1
"Gm12216",1,1,1
"Gm13102",1,1,1
"Gm13178",1,1,1
"Gm13272",1,1,1
"Gm13277",1,1,1
"Gm13288",1,1,1
"Gm13293",1,1,1
"Gm13483",1,1,1
"Gm13490",1,1,1
"Gm13497",1,1,1
"Gm13544",1,1,1
"Gm13718",1,1,1
"Gm13807",1,1,1
"Gm14092",1,1,1
"Gm14139",1,1,1
"Gm14379",1,1,1
"Gm14548",1,1,1
"Gm14858",1,1,1
"Gm15413",1,1,1
"Gm15915",1,1,1
"Gm16523",1,1,1
"Gm1661",1,1,1
"Gm19299",1,1,1
"Gm19345",1,1,1
"Gm19395",1,1,1
"Gm19424",1,1,1
"Gm19619",1,1,1
"Gm20199",1,1,1
"Gm20556",1,1,1
"Gm20758",1,1,1
"Gm2176",1,1,1
"Gm2518",1,1,1
"Gm2848",1,1,1
"Gm3646",1,1,1
"Gm438",1,1,1
"Gm4461",1,1,1
"Gm4814",1,1,1
"Gm4861",1,1,1
"Gm4907",1,1,1
"Gm4952",1,1,1
"Gm4975",1,1,1
"Gm5084",1,1,1
"Gm5111",1,1,1
"Gm5129",1,1,1
"Gm5464",1,1,1
"Gm5468",1,1,1
"Gm5475",1,1,1
"Gm5577",1,1,1
"Gm5934",1,1,1
"Gm6034",1,1,1
"Gm6277",1,1,1
"Gm6297",1,1,1
"Gm8817",1,1,1
"Gm8979",1,1,1
"Gm9767",1,1,1
"Gm9895",1,1,1
"Gm9899",1,1,1
"Gngt1",1,1,1
"Gpbar1",1,1,1
"Gpr110",1,1,1
"Gpr128",1,1,1
"Gpr150",1,1,1
"Gpr31b",1,1,1
"Gpr52",1,1,1
"Gpr97",1,1,1
"Gprc5d",1,1,1
"Grm5",1,1,1
"Gsdmc",1,1,1
"Gsdmc2",1,1,1
"Gsdmc3",1,1,1
"Gsg1l",1,1,1
"Gtf2a1l",1,1,1
"H1foo",1,1,1
"H2-Aa",1,1,1
"H2-L",1,1,1
"H2-M2",1,1,1
"H2-Oa",1,1,1
"H60c",1,1,1
"Haao",1,1,1
"Hal",1,1,1
"Hao1",1,1,1
"Hcrtr1",1,1,1
"Hemt1",1,1,1
"Hephl1",1,1,1
"Hes5",1,1,1
"Higd1b",1,1,1
"Hist1h1t",1,1,1
"Hist1h2ag",1,1,1
"Hist1h2bb",1,1,1
"Hist1h3a",1,1,1
"Hist1h3h",1,1,1
"Hist1h4b",1,1,1
"Hist1h4k",1,1,1
"Hist3h2bb-ps",1,1,1
"Hkdc1",1,1,1
"Hmgcs2",1,1,1
"Hnf1b",1,1,1
"Hoxc12",1,1,1
"Hrh3",1,1,1
"Hsd3b1",1,1,1
"Hsd3b3",1,1,1
"Hsd3b6",1,1,1
"Hspb3",1,1,1
"Htr2c",1,1,1
"Htr5b",1,1,1
"Icam4",1,1,1
"Ido2",1,1,1
"Ifi44l",1,1,1
"Ifitm6",1,1,1
"Igdcc3",1,1,1
"Igfbp1",1,1,1
"Ikzf3",1,1,1
"Il17c",1,1,1
"Il17re",1,1,1
"Il23r",1,1,1
"Il4i1",1,1,1
"Il9r",1,1,1
"Inpp5j",1,1,1
"Ins2",1,1,1
"Insl3",1,1,1
"Irgc1",1,1,1
"Itgb6",1,1,1
"Itih4",1,1,1
"Itk",1,1,1
"Kcne2",1,1,1
"Kcnh3",1,1,1
"Kcnh4",1,1,1
"Kcnj12",1,1,1
"Kcnj14",1,1,1
"Kcnk15",1,1,1
"Kcnmb2",1,1,1
