"","V1","V2","V3"
"0610012H03Rik",1,1,1
"0610040F04Rik",1,1,1
"0610040J01Rik",1,1,1
"0610043K17Rik",1,1,1
"1190003J15Rik",1,1,1
"1300017J02Rik",1,1,1
"1500002O10Rik",1,1,1
"1500012K07Rik",1,1,1
"1600010M07Rik",1,1,1
"1600019K03Rik",1,1,1
"1600029O15Rik",1,1,1
"1700001P01Rik",1,1,1
"1700003F17Rik",1,1,1
"1700006H21Rik",1,1,1
"1700007F19Rik",1,1,1
"1700008F21Rik",1,1,1
"1700008O03Rik",1,1,1
"1700012B07Rik",1,1,1
"1700016D06Rik",1,1,1
"1700017D01Rik",1,1,1
"1700018B08Rik",1,1,1
"1700019A02Rik",1,1,1
"1700019O17Rik",1,1,1
"1700022I11Rik",1,1,1
"1700024F13Rik",1,1,1
"1700025M24Rik",1,1,1
"1700034E13Rik",1,1,1
"1700042B14Rik",1,1,1
"1700045I19Rik",1,1,1
"1700051A21Rik",1,1,1
"1700055N04Rik",1,1,1
"1700065J18Rik",1,1,1
"1700084C01Rik",1,1,1
"1700096J18Rik",1,1,1
"1700112H15Rik",1,1,1
"1700125H20Rik",1,1,1
"1810033B17Rik",1,1,1
"2010109I03Rik",1,1,1
"2200002J24Rik",1,1,1
"2210010C04Rik",1,1,1
"2310002D06Rik",1,1,1
"2310005G13Rik",1,1,1
"2310069G16Rik",1,1,1
"2410003L11Rik",1,1,1
"2410088K16Rik",1,1,1
"2410114N07Rik",1,1,1
"2610316D01Rik",1,1,1
"2810047C21Rik1",1,1,1
"2810404M03Rik",1,1,1
"2810471M01Rik",1,1,1
"2900057B20Rik",1,1,1
"3110047P20Rik",1,1,1
"4732416N19Rik",1,1,1
"4921507P07Rik",1,1,1
"4921533I20Rik",1,1,1
"4930404A10Rik",1,1,1
"4930415F15Rik",1,1,1
"4930429F24Rik",1,1,1
"4930430D24Rik",1,1,1
"4930448H16Rik",1,1,1
"4930452N14Rik",1,1,1
"4930455C13Rik",1,1,1
"4930467K11Rik",1,1,1
"4930469G21Rik",1,1,1
"4930474N09Rik",1,1,1
"4930483J18Rik",1,1,1
"4930503E24Rik",1,1,1
"4930519F16Rik",1,1,1
"4930521E06Rik",1,1,1
"4930526L06Rik",1,1,1
"4930533B01Rik",1,1,1
"4930539M17Rik",1,1,1
"4930542D17Rik",1,1,1
"4930544D05Rik",1,1,1
"4930546C10Rik",1,1,1
"4930547E08Rik",1,1,1
"4930552P12Rik",1,1,1
"4930558K02Rik",1,1,1
"4930578M01Rik",1,1,1
"4930579F01Rik",1,1,1
"4930583K01Rik",1,1,1
"4930593A02Rik",1,1,1
"4931423N10Rik",1,1,1
"4931429L15Rik",1,1,1
"4931440L10Rik",1,1,1
"4932414N04Rik",1,1,1
"4933400B14Rik",1,1,1
"4933402E13Rik",1,1,1
"4933405E24Rik",1,1,1
"4933413G19Rik",1,1,1
"4933415F23Rik",1,1,1
"4933416M07Rik",1,1,1
"4933425L06Rik",1,1,1
"4933427D06Rik",1,1,1
"5031434C07Rik",1,1,1
"5330417C22Rik",1,1,1
"5430421N21Rik",1,1,1
"5430437J10Rik",1,1,1
"5430440P10Rik",1,1,1
"5730416F02Rik",1,1,1
"5730420D15Rik",1,1,1
"5730422E09Rik",1,1,1
"5830403L16Rik",1,1,1
"5830416I19Rik",1,1,1
"6030407O03Rik",1,1,1
"9130015A21Rik",1,1,1
"9330111N05Rik",1,1,1
"9430069I07Rik",1,1,1
"9530026F06Rik",1,1,1
"9630028H03Rik",1,1,1
"A130077B15Rik",1,1,1
"A230020J21Rik",1,1,1
"A230070E04Rik",1,1,1
"A330102I10Rik",1,1,1
"A430092G05Rik",1,1,1
"A430093F15Rik",1,1,1
"A530065N20Rik",1,1,1
"A930016O22Rik",1,1,1
"Aard",1,1,1
"Abcc8",1,1,1
"Acbd7",1,1,1
"Ace2",1,1,1
"Acoxl",1,1,1
"Acsbg2",1,1,1
"Actl9",1,1,1
"Adad2",1,1,1
"Adam39",1,1,1
"Adcy10",1,1,1
"Adcyap1",1,1,1
"Adora1",1,1,1
"Adprhl1",1,1,1
"AF357425",1,1,1
"AF366264",1,1,1
"Ahsg",1,1,1
"AI314831",1,1,1
"AI463170",1,1,1
"Ak7",1,1,1
"Akr1c12",1,1,1
"Akr1c21",1,1,1
"Akr1cl",1,1,1
"Alb",1,1,1
"Aldh8a1",1,1,1
"Aldob",1,1,1
"Amdhd1",1,1,1
"Ang2",1,1,1
"Ankar",1,1,1
"Ankrd2",1,1,1
"Ano4",1,1,1
"Antxrl",1,1,1
"Anxa13",1,1,1
"Apoa5",1,1,1
"Apoh",1,1,1
"Aqp4",1,1,1
