"","V1","V2","V3"
"0610040F04Rik",1,1,1
"1110028F18Rik",1,1,1
"1600025M17Rik",1,1,1
"1700001L19Rik",1,1,1
"1700001P01Rik",1,1,1
"1700003F17Rik",1,1,1
"1700006H21Rik",1,1,1
"1700007B14Rik",1,1,1
"1700008F21Rik",1,1,1
"1700008O03Rik",1,1,1
"1700009C05Rik",1,1,1
"1700010D01Rik",1,1,1
"1700012L04Rik",1,1,1
"1700013F07Rik",1,1,1
"1700018C11Rik",1,1,1
"1700018G05Rik",1,1,1
"1700019A02Rik",1,1,1
"1700019B03Rik",1,1,1
"1700022P22Rik",1,1,1
"1700023L04Rik",1,1,1
"1700026D08Rik",1,1,1
"1700029P11Rik",1,1,1
"1700034E13Rik",1,1,1
"1700036G14Rik",1,1,1
"1700045I19Rik",1,1,1
"1700051A21Rik",1,1,1
"1700061I17Rik",1,1,1
"1700065D16Rik",1,1,1
"1700071K01Rik",1,1,1
"1700084C01Rik",1,1,1
"1700093K21Rik",1,1,1
"1700096J18Rik",1,1,1
"1700101E01Rik",1,1,1
"1700108F19Rik",1,1,1
"1700110K17Rik",1,1,1
"1700112J05Rik",1,1,1
"1700128A07Rik",1,1,1
"1810009J06Rik",1,1,1
"1810010D01Rik",1,1,1
"1810013A23Rik",1,1,1
"1810019J16Rik",1,1,1
"1810033B17Rik",1,1,1
"1810046K07Rik",1,1,1
"1810064F22Rik",1,1,1
"1810065E05Rik",1,1,1
"2010003K11Rik",1,1,1
"2010016I18Rik",1,1,1
"2010106C02Rik",1,1,1
"2010310C07Rik",1,1,1
"2210039B01Rik",1,1,1
"2310002D06Rik",1,1,1
"2310050B05Rik",1,1,1
"2510003D18Rik",1,1,1
"2600006L11Rik",1,1,1
"2610027K06Rik",1,1,1
"2610028H24Rik",1,1,1
"2700046A07Rik",1,1,1
"2810011L19Rik",1,1,1
"2810429I04Rik",1,1,1
"2900009J06Rik",1,1,1
"3100003L05Rik",1,1,1
"3110082J24Rik",1,1,1
"4921517D22Rik",1,1,1
"4930402F06Rik",1,1,1
"4930404H11Rik",1,1,1
"4930412B13Rik",1,1,1
"4930444M15Rik",1,1,1
"4930444P10Rik",1,1,1
"4930451C15Rik",1,1,1
"4930455D15Rik",1,1,1
"4930478L05Rik",1,1,1
"4930502E18Rik",1,1,1
"4930515L03Rik",1,1,1
"4930529M08Rik",1,1,1
"4930544D05Rik",1,1,1
"4930544M13Rik",1,1,1
"4930547C10Rik",1,1,1
"4930555G01Rik",1,1,1
"4930564D02Rik",1,1,1
"4930572O03Rik",1,1,1
"4930573O16Rik",1,1,1
"4930578M01Rik",1,1,1
"4930583K01Rik",1,1,1
"4930590J08Rik",1,1,1
"4930599N23Rik",1,1,1
"4931402G19Rik",1,1,1
"4931406H21Rik",1,1,1
"4932435O22Rik",1,1,1
"4933401D09Rik",1,1,1
"4933402E13Rik",1,1,1
"4933402J07Rik",1,1,1
"4933403O08Rik",1,1,1
"4933405D12Rik",1,1,1
"4933424G06Rik",1,1,1
"4933431G14Rik",1,1,1
"4933432I03Rik",1,1,1
"4933432I09Rik",1,1,1
"4933439K11Rik",1,1,1
"5031434C07Rik",1,1,1
"5430416O09Rik",1,1,1
"5430421N21Rik",1,1,1
"5730522E02Rik",1,1,1
"5830403L16Rik",1,1,1
"5830418P13Rik",1,1,1
"6030407O03Rik",1,1,1
"6330403A02Rik",1,1,1
"8030442B05Rik",1,1,1
"8430403D17Rik",1,1,1
"9030404E10Rik",1,1,1
"9030619P08Rik",1,1,1
"9230105E05Rik",1,1,1
"9230112D13Rik",1,1,1
"9330111N05Rik",1,1,1
"9330117O12Rik",1,1,1
"9330175E14Rik",1,1,1
"9430041J12Rik",1,1,1
"9430069I07Rik",1,1,1
"A130077B15Rik",1,1,1
"A230020J21Rik",1,1,1
"A230028O05Rik",1,1,1
"A230072E10Rik",1,1,1
"A230108P19Rik",1,1,1
"A330041J22Rik",1,1,1
"A330050B17Rik",1,1,1
"A330102I10Rik",1,1,1
"A430093F15Rik",1,1,1
"A530088E08Rik",1,1,1
"A830009L08Rik",1,1,1
"Abca12",1,1,1
"Abcc12",1,1,1
"Acpt",1,1,1
"Acsbg2",1,1,1
"Actl10",1,1,1
"Acvr1c",1,1,1
"Adam2",1,1,1
"Adamts19",1,1,1
"Adcy10",1,1,1
"Adh4",1,1,1
"Adh6a",1,1,1
"Adra2b",1,1,1
"AF529169",1,1,1
"Agbl4",1,1,1
"Agmo",1,1,1
"Agxt2l1",1,1,1
"AI197445",1,1,1
"AI314831",1,1,1
"AI463170",1,1,1
"Aifm3",1,1,1
"Ajap1",1,1,1
"Ak7",1,1,1
"Akr1c18",1,1,1
"Akr1d1",1,1,1
"Aldh3a1",1,1,1
"Alpk2",1,1,1
"Amhr2",1,1,1
"Ampd1",1,1,1
"Amy1",1,1,1
"Ang2",1,1,1
"Ankrd2",1,1,1
"Ankrd33",1,1,1
"Ankrd53",1,1,1
"Ankrd63",1,1,1
"Ano2",1,1,1
"Antxrl",1,1,1
"Apoc1",1,1,1
"Apol11b",1,1,1
"Aqp8",1,1,1
"Arl9",1,1,1
"Asb11",1,1,1
"Ascl3",1,1,1
"Asic2",1,1,1
"Asphd1",1,1,1
"Atp4a",1,1,1
"Atp4b",1,1,1
"Atp6v0c",1,1,1
"Atp6v1b1",1,1,1
"AU022754",1,1,1
"Avpr2",1,1,1
"AW112010",1,1,1
"B230209K01Rik",1,1,1
"B230216N24Rik",1,1,1
"Baat",1,1,1
"Baiap3",1,1,1
"BB019430",1,1,1
"Bbox1",1,1,1
"BC018473",1,1,1
"BC024386",1,1,1
"BC024582",1,1,1
"BC048602",1,1,1
"BC051628",1,1,1
"BC061194",1,1,1
"BC064078",1,1,1
"BC107364",1,1,1
"Bglap2",1,1,1
"Bpifb1",1,1,1
"Bpifb5",1,1,1
"Btla",1,1,1
"Btn1a1",1,1,1
"C130030K03Rik",1,1,1
"C1qtnf9",1,1,1
"C230004F18Rik",1,1,1
"C2cd4a",1,1,1
"C2cd4d",1,1,1
"C6",1,1,1
"C630028M04Rik",1,1,1
"C86187",1,1,1
"Cabp4",1,1,1
"Cabp5",1,1,1
"Cacna1f",1,1,1
"Camkv",1,1,1
"Camp",1,1,1
"Car3",1,1,1
"Ccbp2",1,1,1
"Ccdc135",1,1,1
"Ccdc150",1,1,1
"Ccdc155",1,1,1
"Ccdc170",1,1,1
"Ccdc42",1,1,1
"Ccdc54",1,1,1
"Ccdc60",1,1,1
"Ccdc67",1,1,1
"Cckar",1,1,1
"Ccl1",1,1,1
"Ccl5",1,1,1
"Ccm2l",1,1,1
"Ccr1l1",1,1,1
"Ccr4",1,1,1
"Ccr9",1,1,1
"Cd101",1,1,1
"Cd200r2",1,1,1
"Cd207",1,1,1
"Cd96",1,1,1
"Cdcp1",1,1,1
"Cdh16",1,1,1
"Cdhr3",1,1,1
"Cdk5r2",1,1,1
"Cdr1",1,1,1
"Ceacam20",1,1,1
"Cel",1,1,1
"Cer1",1,1,1
"Ces2a",1,1,1
"Cfhr1",1,1,1
"Chdh",1,1,1
"Chi3l1",1,1,1
"Chit1",1,1,1
"Chrdl2",1,1,1
"Chrna2",1,1,1
"Chst13",1,1,1
"Cited1",1,1,1
"Clcnka",1,1,1
"Clcnkb",1,1,1
"Cldn20",1,1,1
"Cldn7",1,1,1
"Clec2h",1,1,1
"Clec3a",1,1,1
"Clic6",1,1,1
"Clnk",1,1,1
"Clrn3",1,1,1
"Cnga4",1,1,1
"Cntn6",1,1,1
"Cntnap2",1,1,1
"Cpa1",1,1,1
"Cplx3",1,1,1
"Cplx4",1,1,1
"Crhr2",1,1,1
"Crip3",1,1,1
"Crisp2",1,1,1
"Crtac1",1,1,1
"Cryaa",1,1,1
"Cryba4",1,1,1
"Crybb1",1,1,1
"Csnka2ip",1,1,1
"Ctnna3",1,1,1
"Ctse",1,1,1
"Ctsg",1,1,1
"Cwh43",1,1,1
"Cxcl13",1,1,1
"Cxcr3",1,1,1
"Cym",1,1,1
"Cyp11a1",1,1,1
"Cyp21a1",1,1,1
"Cyp24a1",1,1,1
"Cyp2a4",1,1,1
"Cyp2c55",1,1,1
"Cyp2j12",1,1,1
"Cyp4a10",1,1,1
"Cyp4a31",1,1,1
"Cyp4a32",1,1,1
"Cytl1",1,1,1
"D130043K22Rik",1,1,1
"D4Ertd617e",1,1,1
"D530049I02Rik",1,1,1
"D630045M09Rik",1,1,1
"D6Ertd474e",1,1,1
"Dcstamp",1,1,1
