"","V1","V2","V3"
"0610012H03Rik",1,1,1
"0610043K17Rik",1,1,1
"1500002O10Rik",1,1,1
"1500009C09Rik",1,1,1
"1500017E21Rik",1,1,1
"1600014C23Rik",1,1,1
"1600025M17Rik",1,1,1
"1700001J03Rik",1,1,1
"1700001K19Rik",1,1,1
"1700001P01Rik",1,1,1
"1700006F04Rik",1,1,1
"1700006H21Rik",1,1,1
"1700007K09Rik",1,1,1
"1700016H13Rik",1,1,1
"1700017G19Rik",1,1,1
"1700019N19Rik",1,1,1
"1700020A23Rik",1,1,1
"1700020G17Rik",1,1,1
"1700022P22Rik",1,1,1
"1700029J03Rik",1,1,1
"1700029N11Rik",1,1,1
"1700042O10Rik",1,1,1
"1700045I19Rik",1,1,1
"1700063D05Rik",1,1,1
"1700065D16Rik",1,1,1
"1700065J18Rik",1,1,1
"1700066B19Rik",1,1,1
"1700085C21Rik",1,1,1
"1700092E19Rik",1,1,1
"1700096J18Rik",1,1,1
"1700102H20Rik",1,1,1
"1700110C19Rik",1,1,1
"1700112J05Rik",1,1,1
"1700125H20Rik",1,1,1
"1700128F08Rik",1,1,1
"1810019J16Rik",1,1,1
"1810020O05Rik",1,1,1
"2010016I18Rik",1,1,1
"2010308F09Rik",1,1,1
"2210039B01Rik",1,1,1
"2310002D06Rik",1,1,1
"2310005E17Rik",1,1,1
"2310008N11Rik",1,1,1
"2310069B03Rik",1,1,1
"2410057H14Rik",1,1,1
"2610035F20Rik",1,1,1
"2700046A07Rik",1,1,1
"2700081L22Rik",1,1,1
"2810047C21Rik1",1,1,1
"2810404M03Rik",1,1,1
"2810429I04Rik",1,1,1
"2810471M01Rik",1,1,1
"2900060B14Rik",1,1,1
"3110035E14Rik",1,1,1
"3110047P20Rik",1,1,1
"3110082J24Rik",1,1,1
"4833424O15Rik",1,1,1
"4921509O07Rik",1,1,1
"4921517D22Rik",1,1,1
"4930412O13Rik",1,1,1
"4930415F15Rik",1,1,1
"4930429D17Rik",1,1,1
"4930431P03Rik",1,1,1
"4930443O20Rik",1,1,1
"4930455D15Rik",1,1,1
"4930465K10Rik",1,1,1
"4930474N09Rik",1,1,1
"4930483J18Rik",1,1,1
"4930483O08Rik",1,1,1
"4930502E09Rik",1,1,1
"4930509E16Rik",1,1,1
"4930521E06Rik",1,1,1
"4930529M08Rik",1,1,1
"4930544D05Rik",1,1,1
"4930552P12Rik",1,1,1
"4930578M01Rik",1,1,1
"4930579F01Rik",1,1,1
"4930596M17Rik",1,1,1
"4931417G12Rik",1,1,1
"4931423N10Rik",1,1,1
"4931429L15Rik",1,1,1
"4932438H23Rik",1,1,1
"4933400A11Rik",1,1,1
"4933401H06Rik",1,1,1
"4933403O08Rik",1,1,1
"4933405D12Rik",1,1,1
"4933405L10Rik",1,1,1
"4933406G16Rik",1,1,1
"4933415F23Rik",1,1,1
"4933417G07Rik",1,1,1
"4933422A05Rik",1,1,1
"4933425B07Rik",1,1,1
"4933426D04Rik",1,1,1
"4933430H16Rik",1,1,1
"4933431G14Rik",1,1,1
"4933432I09Rik",1,1,1
"5031434C07Rik",1,1,1
"5330434G04Rik",1,1,1
"5330439B14Rik",1,1,1
"5730416F02Rik",1,1,1
"5730457N03Rik",1,1,1
"5830403L16Rik",1,1,1
"5830418P13Rik",1,1,1
"6030408B16Rik",1,1,1
"6030468B19Rik",1,1,1
"6720483E21Rik",1,1,1
"7420700N18Rik",1,1,1
"9130409I23Rik",1,1,1
"9330175E14Rik",1,1,1
"9430014N10Rik",1,1,1
"9430041J12Rik",1,1,1
"9430060I03Rik",1,1,1
"9430069I07Rik",1,1,1
"9630028H03Rik",1,1,1
"A230073K19Rik",1,1,1
"A330050F15Rik",1,1,1
"A330076H08Rik",1,1,1
"A430090L17Rik",1,1,1
"A430093F15Rik",1,1,1
"A930041C12Rik",1,1,1
"Aard",1,1,1
"Abca13",1,1,1
"Abcc6",1,1,1
"Abra",1,1,1
"Acbd7",1,1,1
"Accsl",1,1,1
"Actl10",1,1,1
"Actl6b",1,1,1
"Actl7b",1,1,1
"Adam30",1,1,1
"Adamts19",1,1,1
"Adh4",1,1,1
"Adig",1,1,1
"Adra2b",1,1,1
"AF357425",1,1,1
"AF366264",1,1,1
"AF529169",1,1,1
"Afm",1,1,1
"Agbl4",1,1,1
"Agxt2",1,1,1
"AI118078",1,1,1
"AI463170",1,1,1
"AI646519",1,1,1
"Aicda",1,1,1
"Ajap1",1,1,1
"Aldob",1,1,1
"Alox12b",1,1,1
"Alox15",1,1,1
"Alpl",1,1,1
"Ang2",1,1,1
"Angptl3",1,1,1
"Ankar",1,1,1
"Ankrd34b",1,1,1
"Ano2",1,1,1
"Ano4",1,1,1
"Aox3l1",1,1,1
"Ap1m2",1,1,1
"Ap3b2",1,1,1
"Apoc1",1,1,1
"Apol10a",1,1,1
"Apol11b",1,1,1
"Aqp9",1,1,1
"Arl13a",1,1,1
"Arl14epl",1,1,1
"Arr3",1,1,1
"Art4",1,1,1
"Asb17",1,1,1
"Ascl3",1,1,1
"Asgr2",1,1,1
"Asz1",1,1,1
"Atp13a5",1,1,1
"Atp1a4",1,1,1
"Atp2b3",1,1,1
"Atp4a",1,1,1
"Atp8b5",1,1,1
"AU018091",1,1,1
"AU022754",1,1,1
"AU023871",1,1,1
"AW112010",1,1,1
"B230209E15Rik",1,1,1
"B230216N24Rik",1,1,1
"B230378P21Rik",1,1,1
"B3gnt6",1,1,1
"Baat",1,1,1
"Barhl1",1,1,1
"BB557941",1,1,1
"Bbox1",1,1,1
"BC018473",1,1,1
"BC027072",1,1,1
"BC030500",1,1,1
"BC048502",1,1,1
"BC051019",1,1,1
"BC107364",1,1,1
"Bcas1",1,1,1
"Bcl2l14",1,1,1
"Best2",1,1,1
"Bfsp2",1,1,1
"Birc7",1,1,1
"Bmp7",1,1,1
"Bnipl",1,1,1
"Btbd16",1,1,1
"Btla",1,1,1
"Btnl9",1,1,1
"C2cd4d",1,1,1
"C6",1,1,1
"C87198",1,1,1
"C9",1,1,1
"Cacna2d4",1,1,1
"Cadps2",1,1,1
"Calcb",1,1,1
"Calcoco2",1,1,1
"Camp",1,1,1
"Caps2",1,1,1
"Car3",1,1,1
"Car5a",1,1,1
"Ccbp2",1,1,1
"Ccdc105",1,1,1
"Ccdc129",1,1,1
"Ccdc42",1,1,1
"Ccdc64b",1,1,1
"Ccdc67",1,1,1
"Ccl24",1,1,1
"Ccm2l",1,1,1
"Ccr1l1",1,1,1
"Ccr4",1,1,1
"Ccr7",1,1,1
"Cd164l2",1,1,1
"Cd7",1,1,1
"Cd8a",1,1,1
"Cd96",1,1,1
"Cdcp1",1,1,1
"Cecr2",1,1,1
"Cecr6",1,1,1
"Cel",1,1,1
"Celf6",1,1,1
"Ces2e",1,1,1
"Ces4a",1,1,1
"Cfhr1",1,1,1
"Cfi",1,1,1
"Chrm5",1,1,1
"Chrna4",1,1,1
"Chrnd",1,1,1
"Chst13",1,1,1
"Cited1",1,1,1
"Cited4",1,1,1
"Ckmt1",1,1,1
"Clca3",1,1,1
"Clca6",1,1,1
"Clcnkb",1,1,1
"Cldn19",1,1,1
"Cldn23",1,1,1
"Cldn7",1,1,1
"Clec18a",1,1,1
"Clec2h",1,1,1
"Clec3b",1,1,1
"Clec9a",1,1,1
"Clgn",1,1,1
"Cmtm5",1,1,1
"Cnga1",1,1,1
"Cnga3",1,1,1
"Cntn6",1,1,1
"Cntnap2",1,1,1
"Col4a4",1,1,1
"Cort",1,1,1
"Cpb2",1,1,1
"Cpne5",1,1,1
"Cpt1b",1,1,1
"Cpvl",1,1,1
"Crip3",1,1,1
"Crtac1",1,1,1
"Crygn",1,1,1
"Cst7",1,1,1
"Cstl1",1,1,1
"Ctrb1",1,1,1
"Cuzd1",1,1,1
"Cyp17a1",1,1,1
"Cyp26a1",1,1,1
"Cyp2c44",1,1,1
"Cyp2f2",1,1,1
"Cyp3a13",1,1,1
"Cyp4a31",1,1,1
"D030018L15Rik",1,1,1
"D430041D05Rik",1,1,1
"D730045A05Rik",1,1,1
"D930028M14Rik",1,1,1
"D930032P07Rik",1,1,1
"Dapk2",1,1,1
"Dcstamp",1,1,1
"Ddo",1,1,1
"Defb25",1,1,1
"Dkkl1",1,1,1
"Dlx1as",1,1,1
"Dnahc9",1,1,1
"Dnajb13",1,1,1
"DQ267101",1,1,1
"Drd5",1,1,1
"E030003E18Rik",1,1,1
"E030044B06Rik",1,1,1
"E130006D01Rik",1,1,1
"E130018N17Rik",1,1,1
"E330034G19Rik",1,1,1
"Edar",1,1,1
"Eef1a2",1,1,1
"Efcab3",1,1,1
"Egr4",1,1,1
"Elavl3",1,1,1
"Elfn2",1,1,1
"Elmod1",1,1,1
"Emilin3",1,1,1
"Emr4",1,1,1
"Enpp6",1,1,1
"Epcam",1,1,1
"Eqtn",1,1,1
"Erich2",1,1,1
"Espnl",1,1,1
"Esrp1",1,1,1
"Esrrb",1,1,1
"F2",1,1,1
"F7",1,1,1
"F9",1,1,1
"Faah",1,1,1
"Faim2",1,1,1
"Fam115e",1,1,1
"Fam151a",1,1,1
"Fam187a",1,1,1
"Fam194a",1,1,1
"Fam209",1,1,1
"Fank1",1,1,1
"Fasl",1,1,1
"Fcgbp",1,1,1
"Fcrl6",1,1,1
"Fcrlb",1,1,1
"Fgf23",1,1,1
"Fmo4",1,1,1
"Fndc7",1,1,1
"Foxa3",1,1,1
"Foxd4",1,1,1
"Foxl2os",1,1,1
"Foxn1",1,1,1
"Foxp3",1,1,1
"Frrs1l",1,1,1
"Fscn3",1,1,1
"Fut7",1,1,1
"Fut9",1,1,1
"Gabrg1",1,1,1
