"","V1","V2","V3"
"0610040J01Rik",1,1,1
"1110017D15Rik",1,1,1
"1110036E04Rik",1,1,1
"1190003J15Rik",1,1,1
"1300017J02Rik",1,1,1
"1600010M07Rik",1,1,1
"1600019K03Rik",1,1,1
"1700007F19Rik",1,1,1
"1700007K09Rik",1,1,1
"1700008F21Rik",1,1,1
"1700011A15Rik",1,1,1
"1700012B07Rik",1,1,1
"1700012B09Rik",1,1,1
"1700012L04Rik",1,1,1
"1700013F07Rik",1,1,1
"1700016D06Rik",1,1,1
"1700016H13Rik",1,1,1
"1700017G19Rik",1,1,1
"1700020D05Rik",1,1,1
"1700025E21Rik",1,1,1
"1700027I24Rik",1,1,1
"1700028E10Rik",1,1,1
"1700028P14Rik",1,1,1
"1700030F18Rik",1,1,1
"1700034I23Rik",1,1,1
"1700040L02Rik",1,1,1
"1700042O10Rik",1,1,1
"1700048M11Rik",1,1,1
"1700055N04Rik",1,1,1
"1700065J18Rik",1,1,1
"1700067K01Rik",1,1,1
"1700105P06Rik",1,1,1
"1700108F19Rik",1,1,1
"1700109F18Rik",1,1,1
"1700112E06Rik",1,1,1
"1700128F08Rik",1,1,1
"1810020O05Rik",1,1,1
"2010003K11Rik",1,1,1
"2010107G23Rik",1,1,1
"2010109A12Rik",1,1,1
"2010310C07Rik",1,1,1
"2210039B01Rik",1,1,1
"2310005E17Rik",1,1,1
"2310014F07Rik",1,1,1
"2310015B20Rik",1,1,1
"2310040G24Rik",1,1,1
"2310042E22Rik",1,1,1
"2410004I01Rik",1,1,1
"2410057H14Rik",1,1,1
"2410114N07Rik",1,1,1
"2600006L11Rik",1,1,1
"2610035F20Rik",1,1,1
"2810055G20Rik",1,1,1
"2900060B14Rik",1,1,1
"3110035E14Rik",1,1,1
"3110047P20Rik",1,1,1
"3632454L22Rik",1,1,1
"4831440E17Rik",1,1,1
"4921509C19Rik",1,1,1
"4921509O07Rik",1,1,1
"4921517D22Rik",1,1,1
"4921525O09Rik",1,1,1
"4930412B13Rik",1,1,1
"4930415F15Rik",1,1,1
"4930431P03Rik",1,1,1
"4930443O20Rik",1,1,1
"4930444P10Rik",1,1,1
"4930448H16Rik",1,1,1
"4930455H04Rik",1,1,1
"4930500J02Rik",1,1,1
"4930500L23Rik",1,1,1
"4930509E16Rik",1,1,1
"4930533B01Rik",1,1,1
"4930548H24Rik",1,1,1
"4930562C15Rik",1,1,1
"4930570G19Rik",1,1,1
"4930592I03Rik",1,1,1
"4931408D14Rik",1,1,1
"4931423N10Rik",1,1,1
"4931429L15Rik",1,1,1
"4932412D23Rik",1,1,1
"4933402D24Rik",1,1,1
"4933403O08Rik",1,1,1
"4933406I18Rik",1,1,1
"4933411E08Rik",1,1,1
"4933411K16Rik",1,1,1
"4933415F23Rik",1,1,1
"4933416M06Rik",1,1,1
"4933424G05Rik",1,1,1
"4933425H06Rik",1,1,1
"4933433C11Rik",1,1,1
"4933439K11Rik",1,1,1
"5330413P13Rik",1,1,1
"5430402O13Rik",1,1,1
"5430416O09Rik",1,1,1
"5430437J10Rik",1,1,1
"5730405O15Rik",1,1,1
"5730416F02Rik",1,1,1
"5730422E09Rik",1,1,1
"5730522E02Rik",1,1,1
"5830473C10Rik",1,1,1
"6030407O03Rik",1,1,1
"6430550D23Rik",1,1,1
"6430584L05Rik",1,1,1
"6720483E21Rik",1,1,1
"6820408C15Rik",1,1,1
"9230105E05Rik",1,1,1
"9230112D13Rik",1,1,1
"9330175M20Rik",1,1,1
"9530091C08Rik",1,1,1
"9630028B13Rik",1,1,1
"A230020J21Rik",1,1,1
"A230056J06Rik",1,1,1
"A330050F15Rik",1,1,1
"A430071A18Rik",1,1,1
"A630077J23Rik",1,1,1
"A730017C20Rik",1,1,1
"A730043L09Rik",1,1,1
"A730085A09Rik",1,1,1
"A930016O22Rik",1,1,1
"A930018P22Rik",1,1,1
"A930041C12Rik",1,1,1
"Abca8a",1,1,1
"Abcc12",1,1,1
"Abcg5",1,1,1
"Ablim2",1,1,1
"Abra",1,1,1
"Acap1",1,1,1
"Acox2",1,1,1
"Acpt",1,1,1
"Adam18",1,1,1
"Adam21",1,1,1
"Adamts19",1,1,1
"Adh4",1,1,1
"AF529169",1,1,1
"AI118078",1,1,1
"AI836003",1,1,1
"Aifm3",1,1,1
"Ajap1",1,1,1
"Aknad1",1,1,1
