"","V1","V2","V3"
"0610005C13Rik",1,1,1
"1110017D15Rik",1,1,1
"1600002D24Rik",1,1,1
"1600023N17Rik",1,1,1
"1600025M17Rik",1,1,1
"1700001K23Rik",1,1,1
"1700001L19Rik",1,1,1
"1700001P01Rik",1,1,1
"1700003M02Rik",1,1,1
"1700008O03Rik",1,1,1
"1700011A15Rik",1,1,1
"1700011E24Rik",1,1,1
"1700012D14Rik",1,1,1
"1700013G23Rik",1,1,1
"1700015G11Rik",1,1,1
"1700022I11Rik",1,1,1
"1700023F06Rik",1,1,1
"1700026D08Rik",1,1,1
"1700029H14Rik",1,1,1
"1700042G15Rik",1,1,1
"1700045H11Rik",1,1,1
"1700045I19Rik",1,1,1
"1700061G19Rik",1,1,1
"1700061I17Rik",1,1,1
"1700065J18Rik",1,1,1
"1700096J18Rik",1,1,1
"1700110C19Rik",1,1,1
"1700125H20Rik",1,1,1
"1810020O05Rik",1,1,1
"1810033B17Rik",1,1,1
"2210417K05Rik",1,1,1
"2310014F07Rik",1,1,1
"2310069B03Rik",1,1,1
"2410012M07Rik",1,1,1
"2410057H14Rik",1,1,1
"2410114N07Rik",1,1,1
"2410137M14Rik",1,1,1
"2600006L11Rik",1,1,1
"2610035F20Rik",1,1,1
"2700070H01Rik",1,1,1
"2700081L22Rik",1,1,1
"2700089I24Rik",1,1,1
"2810404M03Rik",1,1,1
"2810459M11Rik",1,1,1
"2810471M01Rik",1,1,1
"2900041M22Rik",1,1,1
"4632428C04Rik",1,1,1
"4921507P07Rik",1,1,1
"4930414N06Rik",1,1,1
"4930444P10Rik",1,1,1
"4930471I20Rik",1,1,1
"4930487H11Rik",1,1,1
"4930502E18Rik",1,1,1
"4930503E24Rik",1,1,1
"4930550C14Rik",1,1,1
"4930555G01Rik",1,1,1
"4931406H21Rik",1,1,1
"4931423N10Rik",1,1,1
"4932414N04Rik",1,1,1
"4933400F21Rik",1,1,1
"4933402D24Rik",1,1,1
"4933403O08Rik",1,1,1
"4933405L10Rik",1,1,1
"4933406C10Rik",1,1,1
"4933406M09Rik",1,1,1
"4933412O06Rik",1,1,1
"4933415F23Rik",1,1,1
"4933431G14Rik",1,1,1
"4933433H22Rik",1,1,1
"5031410I06Rik",1,1,1
"5031425F14Rik",1,1,1
"5031426D15Rik",1,1,1
"5730403I07Rik",1,1,1
"5830473C10Rik",1,1,1
"6330409D20Rik",1,1,1
"6820408C15Rik",1,1,1
"7420461P10Rik",1,1,1
"9030612E09Rik",1,1,1
"9030619P08Rik",1,1,1
"9430060I03Rik",1,1,1
"9530026F06Rik",1,1,1
"9530052E02Rik",1,1,1
"9630028B13Rik",1,1,1
"A330041J22Rik",1,1,1
"A430071A18Rik",1,1,1
"AB099516",1,1,1
"Abhd1",1,1,1
"Acpt",1,1,1
"Acsbg2",1,1,1
"Acsm3",1,1,1
"Actl7a",1,1,1
"Acvr1c",1,1,1
"Adam3",1,1,1
"Adcy10",1,1,1
"Adipoq",1,1,1
"AF357399",1,1,1
"AF357425",1,1,1
"AF366264",1,1,1
"Afp",1,1,1
"AI463170",1,1,1
"AI836003",1,1,1
"Ak7",1,1,1
"Aldob",1,1,1
"Amh",1,1,1
"Amhr2",1,1,1
"Ampd1",1,1,1
"Ang2",1,1,1
"Ankar",1,1,1
"Ankfn1",1,1,1
"Ankmy1",1,1,1
"Ankrd2",1,1,1
"Ankrd53",1,1,1
"Aplnr",1,1,1
"Apoa1",1,1,1
"Apob",1,1,1
"Apol7b",1,1,1
"Apom",1,1,1
"Aqp4",1,1,1
"Arhgap15",1,1,1
"Arid3c",1,1,1
"Arl9",1,1,1
"Arx",1,1,1
"Asgr2",1,1,1
"AU015836",1,1,1
"AU019990",1,1,1
"AU021092",1,1,1
"B230208H11Rik",1,1,1
"B230209K01Rik",1,1,1
"Baiap3",1,1,1
"BC006965",1,1,1
"BC048644",1,1,1
"BC052688",1,1,1
"Bcl2a1c",1,1,1
"Bco2",1,1,1
"Bex1",1,1,1
"Brsk2",1,1,1
"Btbd16",1,1,1
"Btbd17",1,1,1
"C030034L19Rik",1,1,1
"C130080G10Rik",1,1,1
"Cabp4",1,1,1
"Cabp5",1,1,1
"Cacna2d4",1,1,1
"Cadps2",1,1,1
"Calcr",1,1,1
"Capn13",1,1,1
"Capn3",1,1,1
"Catsper3",1,1,1
"Catsperg2",1,1,1
"Cav3",1,1,1
"Cbln2",1,1,1
"Ccdc11",1,1,1
"Ccdc154",1,1,1
"Ccdc177",1,1,1
"Ccdc27",1,1,1
"Ccdc63",1,1,1
"Ccdc64b",1,1,1
"Ccdc69",1,1,1
"Ccl24",1,1,1
"Ccl4",1,1,1
"Ccr3",1,1,1
"Ccr4",1,1,1
"Ccr9",1,1,1
