"","V1","V2","V3"
"1500017E21Rik",1,1,1
"1700001K23Rik",1,1,1
"1700001P01Rik",1,1,1
"1700008O03Rik",1,1,1
"1700012B07Rik",1,1,1
"1700015E13Rik",1,1,1
"1700019B03Rik",1,1,1
"1700019D03Rik",1,1,1
"1700022H16Rik",1,1,1
"1700024F13Rik",1,1,1
"1700025N23Rik",1,1,1
"1700034F02Rik",1,1,1
"1700066B19Rik",1,1,1
"1700092E19Rik",1,1,1
"1700096J18Rik",1,1,1
"1700112H15Rik",1,1,1
"1700119H24Rik",1,1,1
"1700128F08Rik",1,1,1
"1810019J16Rik",1,1,1
"2010010A06Rik",1,1,1
"2210010C04Rik",1,1,1
"2310001K24Rik",1,1,1
"2310002D06Rik",1,1,1
"2410004I01Rik",1,1,1
"2410057H14Rik",1,1,1
"2410114N07Rik",1,1,1
"2810471M01Rik",1,1,1
"3110082J24Rik",1,1,1
"3425401B19Rik",1,1,1
"4732416N19Rik",1,1,1
"4833423E24Rik",1,1,1
"4930404H11Rik",1,1,1
"4930467K11Rik",1,1,1
"4930480K15Rik",1,1,1
"4930500J02Rik",1,1,1
"4930503B20Rik",1,1,1
"4930503E24Rik",1,1,1
"4930519G04Rik",1,1,1
"4930524B15Rik",1,1,1
"4930526L06Rik",1,1,1
"4930538K18Rik",1,1,1
"4930562F07Rik",1,1,1
"4930563D23Rik",1,1,1
"4930579F01Rik",1,1,1
"4930583P06Rik",1,1,1
"4930593A02Rik",1,1,1
"4931406H21Rik",1,1,1
"4931429L15Rik",1,1,1
"4931429P17Rik",1,1,1
"4932435O22Rik",1,1,1
"4933403O08Rik",1,1,1
"4933405E24Rik",1,1,1
"4933405L10Rik",1,1,1
"4933406C10Rik",1,1,1
"4933407L21Rik",1,1,1
"4933413G19Rik",1,1,1
"5031434C07Rik",1,1,1
"5430421N21Rik",1,1,1
"5730403I07Rik",1,1,1
"5930438M14Rik",1,1,1
"6030408B16Rik",1,1,1
"9030619P08Rik",1,1,1
"9130409I23Rik",1,1,1
"9330175E14Rik",1,1,1
"9430018G01Rik",1,1,1
"9530026F06Rik",1,1,1
"9830107B12Rik",1,1,1
"A230056J06Rik",1,1,1
"A430092G05Rik",1,1,1
"A730043L09Rik",1,1,1
"A930009A15Rik",1,1,1
"A930011G23Rik",1,1,1
"Aanat",1,1,1
"Abra",1,1,1
"Acr",1,1,1
"Acsm3",1,1,1
"Actl7b",1,1,1
"Adh6-ps1",1,1,1
"Adra2b",1,1,1
"AF357425",1,1,1
"Afm",1,1,1
"Afp",1,1,1
"Agbl4",1,1,1
"Agmat",1,1,1
"AI847159",1,1,1
"Ak7",1,1,1
"Akr1c19",1,1,1
"Aldh3a1",1,1,1
"Amdhd1",1,1,1
"Amph",1,1,1
"Amy2b",1,1,1
"Ang4",1,1,1
"Ano2",1,1,1
"Apobec2",1,1,1
"Apol10a",1,1,1
"Apol11b",1,1,1
"Apol7c",1,1,1
"Apom",1,1,1
"Aqp4",1,1,1
"Asb17",1,1,1
"Asz1",1,1,1
"Atp1a4",1,1,1
"Atp2b3",1,1,1
